site_id,latitude,longitude,region,country
RedSea_AlShabaan,24.801613,37.180562,RedSea,SaudiArabia
RedSea_AlShoaiba,20.766092,39.473378,RedSea,SaudiArabia
RedSea_AlWajh,26.025006,36.705946,RedSea,SaudiArabia
RedSea_DubaLake,27.433590,35.601723,RedSea,SaudiArabia
RedSea_JuzurJanabiat,19.787375,40.647287,RedSea,SaudiArabia
RedSea_Farasan,16.700000,42.110000,RedSea,SaudiArabia
Gulf_Qeshm,26.830000,55.780000,PersianGulf,Iran
Gulf_AbuDhabi,24.420000,54.420000,PersianGulf,UAE
SouthAsia_Sundarbans_IN,21.950000,88.900000,SouthAsia,India
SouthAsia_Sundarbans_BD,21.980000,89.180000,SouthAsia,Bangladesh
SouthAsia_Bhitarkanika,20.700000,86.900000,SouthAsia,India
SouthAsia_Pichavaram,11.430000,79.790000,SouthAsia,India
SouthAsia_IndusDelta,24.100000,67.450000,SouthAsia,Pakistan
SEAsia_CanGio,10.520000,106.880000,SEAsia,Vietnam
SEAsia_MekongDelta,9.550000,106.300000,SEAsia,Vietnam
SEAsia_Ayeyarwady,15.900000,95.200000,SEAsia,Myanmar
SEAsia_Matang,4.830000,100.600000,SEAsia,Malaysia
SEAsia_Sarawak,1.600000,110.400000,SEAsia,Malaysia
SEAsia_SegaraAnakan,-7.680000,108.850000,SEAsia,Indonesia
SEAsia_MahakamDelta,-0.700000,117.550000,SEAsia,Indonesia
SEAsia_Palawan,9.500000,118.700000,SEAsia,Philippines
Australia_Carpentaria,-16.000000,137.000000,Australia,Australia
Australia_Darwin,-12.450000,130.850000,Australia,Australia
Australia_Hinchinbrook,-18.350000,146.250000,Australia,Australia
Pacific_FijiRewa,-18.150000,178.550000,Pacific,Fiji
EastAfrica_Rufiji,-7.900000,39.300000,EastAfrica,Tanzania
EastAfrica_Zambezi,-18.700000,36.300000,EastAfrica,Mozambique
EastAfrica_Bombetoka,-15.720000,46.300000,EastAfrica,Madagascar
WestAfrica_NigerDelta,4.500000,6.000000,WestAfrica,Nigeria
WestAfrica_Saloum,13.850000,-16.500000,WestAfrica,Senegal
WestAfrica_Bijagos,11.500000,-15.900000,WestAfrica,GuineaBissau
NAmerica_Everglades,25.300000,-81.000000,NorthAmerica,USA
NAmerica_TenThousandIslands,25.900000,-81.500000,NorthAmerica,USA
NAmerica_MarismasNacionales,22.000000,-105.600000,NorthAmerica,Mexico
NAmerica_MagdalenaBay,24.600000,-112.000000,NorthAmerica,Mexico
SAmerica_AmazonMarajo,-0.500000,-48.500000,SouthAmerica,Brazil
SAmerica_Maranhao,-1.800000,-44.500000,SouthAmerica,Brazil
SAmerica_CienagaGrande,10.800000,-74.400000,SouthAmerica,Colombia
SAmerica_Guayaquil,-2.900000,-80.000000,SouthAmerica,Ecuador
SAmerica_Tumbes,-3.400000,-80.300000,SouthAmerica,Peru
CAmerica_Sierpe,8.900000,-83.650000,CentralAmerica,CostaRica
