month,area,ndvi,ocean_current_speed ,ocean_current_direction,precipitation,salinity,sea_surface_height,soil_moisture,surface_temperature,wind_speed ,wind_direction 
2014-01,50674,0.370903246,2.287711075,129.6408318,22.50345278,38.77159794,0.346209532,0.231319586,29.46,1.984082369,116.691071
2014-02,51066,0.401146346,1.82680271,208.7679715,0,38.55332369,0.284987303,0.205448458,32.82,0.900535557,38.35727682
2014-03,50819,0.463343054,1.031505986,156.9470699,4.876297951,38.34983575,0.311298941,0.181444091,34.885,1.213403024,48.70768027
2014-04,46259,0.343404433,1.124763705,63.26086957,20.41765976,38.35214386,0.310106426,0.195293328,37.34,1.669830694,81.01340066
2014-05,50523,0.380105608,1.890249337,119.2982994,1.932245612,38.33076226,0.240977982,0.189106148,38.245,1.751134819,33.26047968
2014-06,46757,0.333357864,2.519150727,210.0035118,0,38.53488977,0.152777592,0.161430943,38.015,2.651338301,2.612129712
2014-07,44956,0.277034083,2.5,90,2.71203357,38.34741625,0.062192642,0.152967571,36.57,2.366773252,352.8379339
2014-08,30601,0.211556159,2.445945946,65.06756757,0,38.60991211,-0.039484337,0.172509075,36.645,1.340345832,39.07328917
2014-09,34865,0.208833676,2.731716046,248.1770175,7.614621997,38.82229778,-0.070883635,0.197717733,39.55,1.430187542,45.15344545
2014-10,46174,0.384537688,1.662162162,218.049353,5.727631092,38.79015132,0.04172854,0.195967143,38.29,1.11626741,59.21229718
2014-11,42475,0.307479493,1.421831192,76.27818823,18.70328283,38.80029286,0.16246546,0.212013673,33.14,0.929350174,164.3735844
2014-12,51384,0.518270511,2.879479121,234.5736946,10.35171819,38.75618188,0.233937514,0.207092338,32.89,0.949432675,124.3744259
2015-01,50385,0.408537389,1.5,180.4679806,14.89124012,38.5897365,0.213332084,0.227019921,30.675,0.557321005,7.666961749
2015-02,46975,0.307367584,3.000650374,103.9359435,0,38.28175528,0.31515812,0.173484655,32.735,0.920890536,53.73451475
2015-03,48557,0.356669785,2.88247219,63.10356238,0,38.33246013,0.334660774,0.167172939,36.535,1.014167686,104.9678081
2015-04,48874,0.345421627,2.240154819,269.6497457,9.1554389,38.29433899,0.228476992,0.189273861,35.41,1.491041192,37.05626949
2015-05,40675,0.241798688,2.709031736,129.1252804,0,38.24266227,0.262575808,0.172324338,36.695,1.855953883,52.14117553
2015-06,44956,0.292987721,2.662717937,156.2275194,0.71569097,38.18959852,0.147494118,0.159387714,36.85,2.151236326,8.799316386
2015-07,44956,0.306036989,2,180,0.198710695,38.47719465,0.079436343,0.154538977,36.605,2.938542112,352.6682464
2015-08,2700,0.160959443,2.634578945,190.1711994,22.86391115,38.44514814,0.047906912,0.193753287,37.825,1.693307448,64.77011813
2015-09,33005,0.227131653,2.077504726,134.7516797,4.859871507,38.46785169,0.037878165,0.223622812,39.535,2.021202561,68.12445528
2015-10,37357,0.275104715,2.068888279,187.529998,5.516848564,38.56016246,0.150388462,0.181109809,38.01,1.404045975,81.2816106
2015-11,49774,0.446163329,2.263280213,37.33702174,10.2223587,38.54053672,0.260184177,0.201375113,33.44,0.619816507,139.8482318
2015-12,48874,0.463973217,1.93100189,25.17958412,13.93418312,38.64812426,0.276207246,0.220002356,31,0.839700018,186.2192646
2016-01,50484,0.459634144,2.26670948,196.2601133,18.31147528,38.31153325,0.3074432,0.212841305,31.67,0.791696091,229.7348545
2016-02,51384,0.44857351,1.806128354,171.2311616,0,38.24229551,0.307193144,0.204638363,32.835,0.435621154,106.3441096
2016-03,50357,0.380464981,1.122698835,130.278828,4.232918739,37.71593541,0.314136176,0.165658578,35.02,0.529495511,96.14649238
2016-04,47974,0.380996476,1.943693694,150.0070236,17.70901299,37.84102031,0.333413505,0.222564254,35.825,1.398803395,169.1941459
